CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,mod_Attrition_Flag,mod_Gender,mod_Education_Level,mod_Income_Category,mod_Card_Category,handled_Total_Trans_Amt,mod_Age_Group,Trans_per_Month,Avg_Trans_Amt,Util_Ratio
708790833,Existing Customer,42,M,5,Uneducated,,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0,1,0.0,5.0,0,7.091742115095153,Adults,1.3548387096774193,28.595238095238095,0.21739774748073504
710821833,Existing Customer,65,M,1,Unknown,2.0,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,1,,2.0,0,7.181591944611865,Seniors,0.48148148148148145,50.53846153846154,0.17449147883452445
710599683,Existing Customer,56,M,1,College,1.0,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,1,2.0,4.0,0,7.3395376954076745,Adults,0.4722222222222222,90.52941176470588,0.0
816082233,Existing Customer,35,M,3,Graduate,,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,1,3.0,3.0,0,7.179307969504034,Adults,1.1,39.72727272727273,0.19492219492219492
712396908,Existing Customer,57,F,2,Graduate,2.0,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,0,3.0,1.0,0,7.359467638255621,Adults,0.6041666666666666,54.13793103448276,0.2791461412151067
714885258,Existing Customer,44,M,4,Unknown,,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0,1,,4.0,0,7.207118856207756,Adults,0.7297297297297297,49.925925925925924,0.2295701464336325
709967358,Existing Customer,48,M,4,Post-Graduate,1.0,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0,1,4.0,4.0,0,7.421775793644647,Adults,0.75,61.888888888888886,0.07778180261468041
753327333,Existing Customer,41,M,3,Unknown,2.0,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,1,,4.0,0,6.9363427358340495,Adults,0.6176470588235294,48.95238095238095,0.095382342076099
806160108,Existing Customer,61,M,1,High School,2.0,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0,1,1.0,2.0,0,7.198183577101943,Seniors,0.5357142857142857,44.53333333333333,0.7882868775446289
709327383,Existing Customer,45,F,2,Graduate,2.0,Unknown,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,0,3.0,,0,7.0967213784947605,Adults,0.5675675675675675,57.476190476190474,0.07995853489979267
806165208,Existing Customer,47,M,1,Doctorate,3.0,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0,1,5.0,3.0,0,7.072421900537371,Adults,0.6428571428571429,43.629629629629626,0.0858000858000858
708508758,Attrited Customer,62,F,0,Graduate,2.0,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,1,0,3.0,1.0,0,6.541029999189903,Seniors,0.32653061224489793,43.25,0.0
784725333,Existing Customer,41,M,3,High School,2.0,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0,1,1.0,2.0,0,6.837332814685591,Adults,0.5454545454545454,51.72222222222222,0.15212527964205816
811604133,Existing Customer,47,F,4,Unknown,1.0,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,0,,1.0,0,7.027314514039777,Adults,0.6388888888888888,48.95652173913044,0.6260032102728732
789124683,Existing Customer,54,M,2,Unknown,2.0,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0,1,,4.0,0,7.01301578963963,Adults,0.5,52.857142857142854,0.0
771071958,Existing Customer,41,F,3,Graduate,1.0,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,0,3.0,1.0,0,6.9584483932976555,Adults,0.7857142857142857,47.77272727272727,0.21485581874356333
720466383,Existing Customer,59,M,1,High School,,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0,1,1.0,2.0,0,7.088408778675395,Adults,0.5,52.04347826086956,0.0929383116883117
804424383,Existing Customer,63,M,1,Unknown,2.0,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0,1,,3.0,0,7.552237287560802,Seniors,0.7142857142857143,47.6,0.09887420460107685
718813833,Existing Customer,44,F,3,Uneducated,1.0,Unknown,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,0,0.0,,0,6.959398512133975,Adults,0.5294117647058824,58.44444444444444,0.0
806624208,Existing Customer,47,M,4,High School,2.0,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0,1,1.0,2.0,0,6.952728644624869,Adults,0.9047619047619048,27.5,0.2846394984326019
778348233,Existing Customer,53,M,3,Unknown,2.0,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0,1,,4.0,0,6.946013991099227,Adults,0.7575757575757576,41.52,0.6578278241917908
712991808,Existing Customer,53,M,2,Uneducated,2.0,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0,1,0.0,3.0,0,7.3758821482150125,Adults,0.5416666666666666,61.38461538461539,0.689514483884129
709029408,Existing Customer,41,M,4,Graduate,2.0,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0,1,3.0,3.0,0,7.371489295214277,Adults,0.6666666666666666,66.20833333333333,0.2820800179311891
788658483,Existing Customer,53,F,2,College,2.0,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,0,2.0,1.0,0,7.252762418053187,Adults,0.7368421052631579,50.392857142857146,0.5622641509433962
787937058,Existing Customer,58,M,0,Graduate,2.0,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0,1,3.0,4.0,0,7.163946684342547,Adults,0.4897959183673469,53.791666666666664,0.13508562325766627
715318008,Existing Customer,55,F,1,College,1.0,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,0,2.0,1.0,0,7.249925536717988,Adults,1.1944444444444444,32.72093023255814,0.54375
713962233,Existing Customer,55,F,3,Graduate,2.0,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,0,3.0,1.0,0,7.537962659768208,Adults,1.0277777777777777,50.729729729729726,0.757166392092257
785432733,Existing Customer,42,F,4,High School,2.0,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0,0,1.0,1.0,2,6.874198495453294,Adults,0.6111111111111112,43.90909090909091,0.0
715190283,Existing Customer,57,F,1,Graduate,,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0,0,3.0,2.0,0,7.289610521451167,Adults,0.5714285714285714,52.285714285714285,0.24128540305010893
708300483,Attrited Customer,66,F,0,Doctorate,2.0,Unknown,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,1,0,5.0,,0,6.558197802812269,Seniors,0.2857142857142857,44.0,0.07675716823141335
827111283,Existing Customer,45,M,3,Graduate,1.0,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0,1,3.0,4.0,0,7.01211529430638,Adults,0.6829268292682927,39.607142857142854,0.017825201998396347
758551608,Existing Customer,51,M,2,Unknown,2.0,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0,1,,2.0,0,7.206377291472252,Adults,0.6363636363636364,48.107142857142854,0.35519742143432714
773146383,Existing Customer,50,F,1,College,1.0,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0,0,2.0,2.0,1,7.471363088187097,Adults,0.7674418604651163,53.21212121212121,0.14545769764216365
778493808,Existing Customer,49,M,3,High School,2.0,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0,1,1.0,3.0,0,7.471363088187097,Adults,0.8648648648648649,54.875,0.0
720572508,Existing Customer,38,F,4,Graduate,1.0,Unknown,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0,0,3.0,,0,6.949856455000773,Adults,0.8214285714285714,45.30434782608695,0.20905391658189218
712661433,Existing Customer,49,M,4,Uneducated,1.0,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0,1,0.0,4.0,0,7.275864600546533,Adults,0.9333333333333333,51.57142857142857,0.0
789172683,Existing Customer,56,M,2,Doctorate,2.0,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0,1,5.0,3.0,0,7.462789157412448,Adults,0.6,64.48148148148148,0.6263688129653964
738406533,Existing Customer,59,M,1,Doctorate,2.0,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0,1,5.0,2.0,0,7.450079569807499,Adults,0.5192307692307693,63.666666666666664,0.792778649921507
799723908,Existing Customer,46,M,3,High School,2.0,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0,1,1.0,4.0,0,7.1049654482698426,Adults,0.675,45.074074074074076,0.07374858669955803
771490833,Existing Customer,52,M,1,College,1.0,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0,1,2.0,4.0,0,7.039660349862076,Adults,1.0,28.5,0.2585879873551106
720756708,Existing Customer,52,F,3,Unknown,2.0,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,0,,1.0,0,7.538494999413465,Adults,0.7317073170731707,62.6,0.5907704042715485
779471883,Attrited Customer,54,F,1,Graduate,2.0,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,1,0,3.0,1.0,0,6.559615237493242,Adults,0.475,37.10526315789474,0.561774316901898
711525033,Existing Customer,66,F,0,High School,2.0,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,0,1.0,1.0,0,7.5740450053721995,Seniors,0.7037037037037037,51.21052631578947,0.6871649321980448
712813458,Existing Customer,49,M,2,Unknown,2.0,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0,1,,5.0,0,7.254884810077338,Adults,0.9722222222222222,40.4,0.12735920659818853
714374133,Attrited Customer,56,M,2,Graduate,2.0,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,1,1,3.0,5.0,0,6.401917196727186,Adults,0.4166666666666667,40.13333333333333,0.0
717891558,Existing Customer,49,F,4,Graduate,,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0,0,3.0,1.0,0,6.959398512133975,Adults,0.8888888888888888,32.875,0.667070952092177
716632758,Existing Customer,49,F,3,Graduate,1.0,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0,0,3.0,1.0,0,7.16703787691222,Adults,1.1111111111111112,32.375,0.8433261955745895
768563658,Existing Customer,56,M,2,Uneducated,2.0,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0,1,0.0,2.0,0,7.261927092702751,Adults,0.58,49.10344827586207,0.4217137729923733
711427458,Existing Customer,44,F,5,Graduate,2.0,Unknown,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,0,3.0,,0,7.215239978730097,Adults,0.7142857142857143,54.36,0.1559062649450024
714091983,Existing Customer,42,M,2,High School,1.0,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0,1,1.0,3.0,0,7.063903961472068,Adults,0.7941176470588235,43.25925925925926,0.5254796163069544
787584108,Existing Customer,55,M,3,Unknown,2.0,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0,1,,4.0,0,7.001245622069476,Adults,0.7021276595744681,33.24242424242424,0.5867287543655413
712030833,Attrited Customer,48,M,2,Graduate,2.0,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,1,1,3.0,3.0,1,6.539585955617669,Adults,0.42857142857142855,46.06666666666667,0.0
711481533,Existing Customer,39,M,1,High School,3.0,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0,1,1.0,3.0,0,7.183111701743281,Adults,0.8484848484848485,47.0,0.21110361120485993
710082708,Existing Customer,44,M,4,Post-Graduate,1.0,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0,1,4.0,5.0,0,7.152268856032539,Adults,0.8125,49.07692307692308,0.08774053512543306
708155733,Existing Customer,53,M,2,High School,1.0,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0,1,1.0,5.0,0,7.162397497355718,Adults,0.5227272727272727,56.04347826086956,0.11089995927786073
788979258,Existing Customer,51,M,4,Uneducated,1.0,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0,1,0.0,4.0,1,7.165493475060845,Adults,0.8421052631578947,40.40625,0.043892687449298876
807986133,Existing Customer,57,M,2,College,2.0,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0,1,2.0,3.0,0,7.21081845347222,Adults,0.6730769230769231,38.65714285714286,0.27597205346294046
788730933,Existing Customer,44,F,2,Uneducated,1.0,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0,0,0.0,1.0,0,7.0326242610280065,Adults,1.4,40.42857142857143,0.7044145873320538
711314058,Existing Customer,49,M,2,Graduate,2.0,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0,1,3.0,3.0,0,7.421177528595393,Adults,0.53125,98.23529411764706,0.6561944279786603
717975333,Existing Customer,50,M,2,Doctorate,2.0,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0,1,5.0,4.0,0,6.731018100482083,Adults,0.39473684210526316,55.8,0.05256916996047431
715971108,Existing Customer,51,M,4,Graduate,1.0,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0,1,3.0,5.0,0,7.346655163176539,Adults,0.9761904761904762,37.80487804878049,0.051077761038359024
720096558,Existing Customer,55,F,2,Graduate,2.0,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0,0,3.0,1.0,0,7.340186835320115,Adults,0.8571428571428571,42.77777777777778,0.4666064981949459
719580033,Existing Customer,54,M,1,Graduate,,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0,1,3.0,3.0,0,7.136483208590247,Adults,0.4883720930232558,59.80952380952381,0.697594501718213
820582308,Existing Customer,42,M,5,Uneducated,2.0,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0,1,0.0,4.0,0,7.240649694255466,Adults,0.9459459459459459,39.82857142857143,0.06668703356173351
789973308,Existing Customer,44,M,1,College,1.0,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0,1,2.0,3.0,0,7.201916317531627,Adults,0.6857142857142857,55.875,0.07946692991115499
712876233,Existing Customer,53,M,2,Graduate,1.0,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0,1,3.0,4.0,0,7.162397497355718,Adults,0.9166666666666666,39.06060606060606,0.28736722306525037
804595158,Existing Customer,44,F,4,Graduate,1.0,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0,0,3.0,1.0,0,7.014814351275545,Adults,0.6388888888888888,48.34782608695652,0.3595714285714286
714826758,Existing Customer,37,F,3,Uneducated,1.0,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0,0,0.0,1.0,0,7.757906208351747,Adults,1.9655172413793103,41.03508771929825,0.25589656152316
779058108,Existing Customer,49,M,3,Graduate,3.0,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,0,1,3.0,3.0,0,7.292337176173877,Adults,0.7666666666666667,63.82608695652174,0.7188485804416404
710790258,Existing Customer,47,M,2,Graduate,2.0,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0,1,3.0,4.0,0,7.19668657083435,Adults,0.9210526315789473,38.114285714285714,0.06570024910047052
715623483,Existing Customer,47,M,3,Graduate,2.0,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0,1,3.0,3.0,0,7.284820912568604,Adults,1.1081081081081081,35.53658536585366,0.19785222364888524
715156383,Existing Customer,44,M,1,Unknown,,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0,1,,5.0,0,7.38025578842646,Adults,0.8055555555555556,55.275862068965516,0.04441418472592421
711013983,Attrited Customer,55,F,4,Unknown,2.0,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,1,0,,2.0,0,6.423246963533519,Adults,0.26666666666666666,51.25,0.0
755420433,Existing Customer,59,F,1,Graduate,2.0,Unknown,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0,0,3.0,,0,6.974478911025045,Adults,0.38461538461538464,53.4,0.13984012631994475
794543958,Existing Customer,53,M,1,Graduate,3.0,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0,1,3.0,4.0,0,7.372118028337787,Adults,0.7714285714285715,58.888888888888886,0.035316954455904506
716396358,Existing Customer,52,M,2,Graduate,2.0,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,0,1,3.0,3.0,0,7.3343293503005365,Adults,0.7446808510638298,43.74285714285714,0.6191247974068071
715398033,Existing Customer,53,M,2,High School,1.0,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,0,1,1.0,5.0,0,7.10085190894405,Adults,0.8857142857142857,39.096774193548384,0.10798319327731093
711743883,Existing Customer,43,F,3,Uneducated,1.0,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0,0,0.0,1.0,0,7.121252453244542,Adults,0.9142857142857143,38.65625,0.0
719720058,Existing Customer,44,M,3,High School,1.0,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0,1,1.0,3.0,0,7.254177846456518,Adults,0.45161290322580644,100.92857142857143,0.06561618062088428
778992108,Existing Customer,57,M,2,Unknown,2.0,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0,1,,5.0,0,7.324489979348532,Adults,0.6444444444444445,52.275862068965516,0.0
717539808,Existing Customer,51,F,2,High School,1.0,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0,0,1.0,1.0,0,7.152268856032539,Adults,0.5833333333333334,60.76190476190476,0.0
714070758,Existing Customer,49,M,4,High School,1.0,$80K - $120K,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,0,1,1.0,4.0,0,7.355641102974253,Adults,0.9210526315789473,44.68571428571428,0.06239217941345601
714107958,Existing Customer,45,M,1,Graduate,1.0,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0,1,3.0,2.0,0,7.290292882446597,Adults,0.9444444444444444,43.088235294117645,0.0
789140283,Existing Customer,53,M,0,Graduate,1.0,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,0,1,3.0,4.0,0,7.160069207596127,Adults,0.6904761904761905,44.3448275862069,0.7646396396396397
715550508,Existing Customer,45,F,3,Unknown,2.0,Unknown,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,0,0,,,0,7.180069874302796,Adults,0.7142857142857143,65.6,0.9625246548323472
719712633,Existing Customer,64,M,1,Graduate,2.0,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0,1,3.0,1.0,0,7.422971251049421,Seniors,0.6153846153846154,52.28125,0.5236980690462258
772629333,Existing Customer,45,M,3,Graduate,2.0,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,0,1,3.0,2.0,0,7.1808311990445555,Adults,0.8571428571428571,43.766666666666666,0.3474232773595831
720336708,Existing Customer,53,M,3,Doctorate,2.0,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0,1,5.0,2.0,0,7.383989457978509,Adults,1.2,38.30952380952381,0.4502507257851676
802013583,Existing Customer,56,M,3,College,2.0,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,0,1,2.0,5.0,0,7.055312843339752,Adults,0.38,60.94736842105263,0.23222210754463826
711887583,Attrited Customer,47,M,2,Unknown,2.0,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,1,1,,4.0,0,6.729824070489475,Adults,0.4864864864864865,46.44444444444444,0.29877041659020004
714778833,Existing Customer,49,F,3,College,1.0,Unknown,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,0,0,2.0,,0,7.162397497355718,Adults,0.5116279069767442,58.59090909090909,0.08509899270580062
713843283,Existing Customer,41,F,3,Unknown,2.0,Unknown,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,0,0,,,1,7.305188215393037,Adults,0.7647058823529411,57.19230769230769,0.05947966160621161
779155158,Existing Customer,53,M,3,Graduate,2.0,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,0,1,3.0,5.0,0,7.138866999945524,Adults,0.9705882352941176,38.15151515151515,0.42993197278911566
721091583,Existing Customer,44,F,2,Graduate,1.0,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,0,0,3.0,1.0,0,7.1693500166706,Adults,0.46875,86.53333333333333,0.6199274166941603
713572683,Existing Customer,44,M,3,High School,,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,0,1,1.0,3.0,0,7.112327444710911,Adults,1.36,36.05882352941177,0.0
716657058,Existing Customer,43,F,4,Post-Graduate,2.0,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,0,0,4.0,1.0,0,7.356918242356021,Adults,1.121212121212121,42.32432432432432,0.1107920555156736
779509983,Existing Customer,53,M,2,Post-Graduate,1.0,$120K +,Blue,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027,0,1,4.0,5.0,0,6.930494765951626,Adults,0.5833333333333334,48.666666666666664,0.02697299802989918
717929133,Existing Customer,44,M,1,Uneducated,2.0,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,0,1,0.0,3.0,0,7.119635638017636,Adults,0.8333333333333334,41.166666666666664,0.16885813148788928
